    i start_time  S  a1      m1 objective_value    violation time_of_incident     mi1 final_objective           feasible_better S_Objective
    1          6  1 N/A 1580046               0 Not_exceeded                6 1580046               0                         0       47089
    2         11  1 N/A 1580296               0 Not_exceeded               11 1580296               0                         0       47089
    3         16  1 N/A 1580546               0 Not_exceeded               16 1580546               0                         0       47089
    4         21  1 N/A 1580796               0 Not_exceeded               21 1580796               0                         0       47089
    5         26  1 N/A 1581046               0 Not_exceeded               26 1581046               0                         0       47089
    6         31  1 N/A 1581296               0 Not_exceeded               31 1581296               0                         0       47089
    7         36  1 N/A 1581546               0 Not_exceeded               36 1581546               0                         0       47089
    8         41  1 N/A 1581796               0 Not_exceeded               41 1581796               0                         0       47089
    9         46  1 N/A 1582046               0 Not_exceeded               46 1582046               0                         0       47089
   10         51  1 N/A 1582296               0 Not_exceeded               51 1582296               0                         0       47089
   11         56  1 N/A 1582546               0 Not_exceeded               56 1582546               0                         0       47089
   12         61  1 N/A 1582796               0 Not_exceeded               61 1582796               0                         0       47089
   13         66  1 N/A 1583046               0 Not_exceeded               66 1583046               0                         0       47089
   14         71  1 N/A 1583296               0 Not_exceeded               71 1583296               0                         0       47089
   15         76  1 N/A 1583546               0 Not_exceeded               76 1583546               0                         0       47089
   16         81  1 N/A 1583796               0 Not_exceeded               81 1583796               0                         0       47089
   17         86  1 N/A 1584046               0 Not_exceeded               86 1584046               0                         0       47089
   18         91  1 N/A 1584296               0 Not_exceeded               91 1584296               0                         0       47089
   19         96  1 N/A 1584546               0 Not_exceeded               96 1584546               0                         0       47089
   20        101  1 N/A 1584796               0 Not_exceeded              101 1584796               0                         0       47089
   21        106  1 N/A 1585046               0 Not_exceeded              106 1585046               0                         0       47089
   22        111  1 N/A 1585296               0 Not_exceeded              111 1585296               0                         0       47089
   23        116  1 N/A 1585546               0 Not_exceeded              116 1585546               0                         0       47089
   24        121  1 N/A 1585796               0 Not_exceeded              121 1585796               0                         0       47089
   25        126  1 N/A 1586046               0 Not_exceeded              126 1586046               0                         0       47089
   26        131  1 N/A 1586296               0 Not_exceeded              131 1586296               0                         0       47089
   27        136  1 N/A 1586546               0 Not_exceeded              136 1586546               0                         0       47089
   28        141  1 N/A 1586796               0 Not_exceeded              141 1586796               0                         0       47089
   29        146  1 N/A 1587046               0 Not_exceeded              146 1587046               0                         0       47089
   30        151  1 N/A 1587296               0 Not_exceeded              151 1587296               0                         0       47089
   31        156  1 N/A 1587546               0 Not_exceeded              156 1587546               0                         0       47089
   32        161  1 N/A 1587796               0 Not_exceeded              161 1587796               0                         0       47089
   33        166  1 N/A 1588046               0 Not_exceeded              166 1588046               0                         0       47089
   34        171  1 N/A 1588296               0 Not_exceeded              171 1588296               0                         0       47089
   35        176  1 N/A 1588546               0 Not_exceeded              176 1588546               0                         0       47089
   36        181  1 N/A 1588796               0 Not_exceeded              181 1588796               0                         0       47089
   37        186  1 N/A 1589046               0 Not_exceeded              186 1589046               0                         0       47089
   38        191  1 N/A 1589296               0 Not_exceeded              191 1589296               0                         0       47089
   39        196  1 N/A 1589546               0 Not_exceeded              196 1589546               0                         0       47089
   40        201  1 N/A 1589796               0 Not_exceeded              201 1589796               0                         0       47089
   41        206  1 N/A 1590046               0 Not_exceeded              206 1590046               0                         0       47089
   42        211  1 N/A 1590296               0 Not_exceeded              211 1590296               0                         0       47089
   43        216  1 N/A 1590546               0 Not_exceeded              216 1590546               0                         0       47089
   44        221  1 N/A 1590796               0 Not_exceeded              221 1590796               0                         0       47089
   45        226  1 N/A 1591046               0 Not_exceeded              226 1591046               0                         0       47089
   46        231  1 N/A 1591296               0 Not_exceeded              231 1591296               0                         0       47089
   47        236  1 N/A 1591546               0 Not_exceeded              236 1591546               0                         0       47089
   48        241  1 N/A 1591796               0 Not_exceeded              241 1591796               0                         0       47089
   49        246  1 N/A 1592046               0 Not_exceeded              246 1592046               0                         0       47089
   50        251  1 N/A 1592296               0 Not_exceeded              251 1592296               0                         0       47089
   51        256  1 N/A 1592546               0 Not_exceeded              256 1592546               0                         0       47089
   52        261  1 N/A 1592796               0 Not_exceeded              261 1592796               0                         0       47089
   53        266  1 N/A 1593046               0 Not_exceeded              266 1593046               0                         0       47089
   54        271  1 N/A 1593296               0 Not_exceeded              271 1593296               0                         0       47089
   55        276  1 N/A 1593546               0 Not_exceeded              276 1593546               0                         0       47089
   56        281  1 N/A 1593796               0 Not_exceeded              281 1593796               0                         0       47089
   57        286  1 N/A 1594046               0 Not_exceeded              286 1594046               0                         0       47089
   58        291  1 N/A 1594296               0 Not_exceeded              291 1594296               0                         0       47089
   59        296  1 N/A 1594546               0 Not_exceeded              296 1594546               0                         0       47089
   60        301  1 N/A 1594796               0 Not_exceeded              301 1594796               0                         0       47089
   61        306  1 N/A 1595046               0 Not_exceeded              306 1595046               0                         0       47089
   62        311  1 N/A 1595296               0 Not_exceeded              311 1595296               0                         0       47089
   63        316  1 N/A 1595546               0 Not_exceeded              316 1595546               0                         0       47089
   64        321  1 N/A 1595796               0 Not_exceeded              321 1595796               0                         0       47089
   65        326  1 N/A 1596046               0 Not_exceeded              326 1596046               0                         0       47089
   66        331  1 N/A 1596296               0 Not_exceeded              331 1596296               0                         0       47089
   67        336  1 N/A 1596546               0 Not_exceeded              336 1596546               0                         0       47089
   68        341  1 N/A 1596796               0 Not_exceeded              341 1596796               0                         0       47089
   69        346  1 N/A 1597046               0 Not_exceeded              346 1597046               0                         0       47089
   70        351  1 N/A 1597296               0 Not_exceeded              351 1597296               0                         0       47089
   71        356  1 N/A 1597546               0 Not_exceeded              356 1597546               0                         0       47089
   72        361  1 N/A 1597796               0 Not_exceeded              361 1597796               0                         0       47089
   73        366  1 N/A 1598046               0 Not_exceeded              366 1598046               0                         0       47089
   74        371  1 N/A 1598296               0 Not_exceeded              371 1598296               0                         0       47089
   75        376  1 N/A 1598546               0 Not_exceeded              376 1598546               0                         0       47089
   76        381  1 N/A 1598796               0 Not_exceeded              381 1598796               0                         0       47089
   77        386  1 N/A 1599046               0 Not_exceeded              386 1599046               0                         0       47089
   78        391  1 N/A 1599296               0 Not_exceeded              391 1599296               0                         0       47089
   79        396  1 N/A 1599546               0 Not_exceeded              396 1599546               0                         0       47089
   80        401  1 N/A 1599796               0 Not_exceeded              401 1599796               0                         0       47089
   81        406  1 N/A 1600046               0 Not_exceeded              406 1600046               0                         0       47089
   82        411  1 N/A 1600296               0 Not_exceeded              411 1600296               0                         0       47089
   83        416  1 N/A 1600546               0 Not_exceeded              416 1600546               0                         0       47089
   84        421  1 N/A 1600796               0 Not_exceeded              421 1600796               0                         0       47089
   85        426  1 N/A 1601046               0 Not_exceeded              426 1601046               0                         0       47089
   86        431  1 N/A 1601296               0 Not_exceeded              431 1601296               0                         0       47089
   87        436  1 N/A 1601546               0 Not_exceeded              436 1601546               0                         0       47089
   88        441  1 N/A 1601796               0 Not_exceeded              441 1601796               0                         0       47089
   89        446  1 N/A 1602046               0 Not_exceeded              446 1602046               0                         0       47089
   90        451  1 N/A 1602296               0 Not_exceeded              451 1602296               0                         0       47089
   91        456  1 N/A 1602546               0 Not_exceeded              456 1602546               0                         0       47089
   92        461  2 N/A 1599746               0 Not_exceeded              461 1599746               0                         0       47089
   93        466  1 N/A 1599996               0 Not_exceeded              466 1599996               0                         0       47089
   94        471  1 N/A 1600246               0 Not_exceeded              471 1600246               0                         0       47089
   95        476  1 N/A 1600496               0 Not_exceeded              476 1600496               0                         0       47089
   96        481  1 N/A 1600746               0 Not_exceeded              481 1600746               0                         0       47089
   97        486  1 N/A 1600996               0 Not_exceeded              486 1600996               0                         0       47089
   98        491  1 N/A 1601246               0 Not_exceeded              491 1601246               0                         0       47089
   99        496  1 N/A 1601496               0 Not_exceeded              496 1601496               0                         0       47089
  100        501  1 N/A 1601746               0 Not_exceeded              501 1601746               0                         0       47089
  101        506  1 N/A 1601996               0 Not_exceeded              506 1601996               0                         0       47089
  102        511  1 N/A 1602246               0 Not_exceeded              511 1602246               0                         0       47089
  103        516  1 N/A 1602496               0 Not_exceeded              516 1602496               0                         0       47089
