  0 39611770 39660976   49206 2
  1 39662496 40367342  704846 2
  2 40368863 40390115   21252 2
  3 40394744 40416365   21621 2
  4 40420763 40441738   20975 2
  5 40443258 40594079  150821 2
  6 40595599 40617076   21477 2
  7 40618596 41108694  490098 2
  8 41110214 41112715    2501 2
  9 41112715 41130439   17724 2
 10 41130439 41130439       0 2
 11 41130439 41133947    3508 2
 12 41133947 41158361   24414 2
 13 41158361 41158362       1 2
 14 41159882 41270824  110942 2
 15 41272344 41274569    2225 2
 16 41274569 41302281   27712 4
 17 41302281 41302282       1 2
 18 41303802 41501888  198086 2
 19 41503408 41504728    1320 2
 20 41504728 41526672   21944 4
 21 41526672 41526673       1 2
 22 41543034 41565984   22950 2
 23 41565984 41577716   11732 2
 24 41579236 41679395  100159 2
 25 41680915 41719331   38416 1
 26 41719331 41726214    6883 1
 27 41726214 41726214       0 1
 28 41726214 41726214       0 1
 29 41726214 41726214       0 1
 30 41726214 41727550    1336 1
 31 41727550 41735784    8234 1
 32 41735784 41761049   25265 1
 33 41763291 41787974   24683 1
 34 41802383 41809020    6637 1
 35 41809020 41809020       0 1
 36 41809020 41811319    2299 1
 37 41811319 41816692    5373 1
 38 41816692 41816692       0 1
 39 41816692 41816692       0 1
 40 41816692 41816692       0 1
 41 41816692 41816692       0 1
 42 41816692 41817196     504 1
 43 41817196 41818334    1138 1
 44 41818334 41820925    2591 1
 45 41820925 41820925       0 1
 46 41820925 41820925       0 1
 47 41820925 41820925       0 1
 48 41820925 41820925       0 1
 49 41820925 41820925       0 1
 50 41820925 41820925       0 1
 51 41820925 41820925       0 1
 52 41820925 41820925       0 1
 53 41820925 41827543    6618 1
 54 41827543 41827543       0 1
 55 41827543 41827543       0 1
 56 41827543 41827543       0 1
 57 41827543 41827543       0 1
 58 41827543 41827543       0 1
 59 41827543 41827543       0 1
 60 41827543 41828608    1065 1
 61 41828608 41830949    2341 1
 62 41830949 41830949       0 1
 63 41830949 41831156     207 1
 64 41831156 41831156       0 1
 65 41831156 41853309   22153 1
 66 41853309 41853309       0 1
 67 41853309 41853309       0 1
 68 41853309 41856244    2935 1
 69 41856244 41856244       0 1
 70 41856244 41861159    4915 1
 71 41861159 41861160       1 1
 72 41861160 41868712    7552 1
 73 41868712 41868712       0 1
 74 41868712 41868939     227 1
 75 41868939 41870088    1149 1
